id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
1,Abavorana luctuosa,,,,,,Abavorana luctuosa,Amphibia,Anura,"['Abavorana luctuosa', 'Hylarana luctuosa']"
3,Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,Abeillia abeillei,Emerald-chinned Hummingbird,Smaragdkehlkolibri,Abeillia abeillei,Aves,Apodiformes,['Abeillia abeillei']
4,Abies balsamea,,,,,,,,,['Abies balsamea']
5,Abroscopus albogularis,Rufous-faced Warbler,rufwar1,Abroscopus albogularis,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Abroscopus albogularis,Aves,Passeriformes,['Abroscopus albogularis']
6,Abroscopus schisticeps,Black-faced Warbler,blfwar1,Abroscopus schisticeps,Black-faced Warbler,Schieferkopf-Dickichtsänger,Abroscopus schisticeps,Aves,Passeriformes,['Abroscopus schisticeps']
7,Abroscopus superciliaris,Yellow-bellied Warbler,yebwar1,Abroscopus superciliaris,Yellow-bellied Warbler,Bambusdickichtsänger,Abroscopus superciliaris,Aves,Passeriformes,['Abroscopus superciliaris']
8,Abudefduf saxatilis,Damsel fish,t-10950238,,,,Abudefduf saxatilis,,Perciformes,['Abudefduf saxatilis']
9,Aburria aburri,Wattled Guan,watgua1,Aburria aburri,Wattled Guan,Lappenguan,Aburria aburri,Aves,Galliformes,['Aburria aburri']
10,Acacia islana,,,,,,,,,['Acacia islana']
11,Acacia melanoxylon,,,,,,,,,['Acacia melanoxylon']
12,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Acanthagenys rufogularis,Aves,Passeriformes,['Acanthagenys rufogularis']
13,Acanthidops bairdi,Peg-billed Finch,pebfin1,Acanthidops bairdi,Peg-billed Finch,Vulkanammertangare,Acanthidops bairdi,Aves,Passeriformes,['Acanthidops bairdi']
14,Acanthinodera cumingii,,,,,,Acanthinodera cumingii,Insecta,Coleoptera,['Acanthinodera cumingii']
15,Acanthis cabaret,,,,,Alpenbirkenzeisig,Acanthis flammea,Aves,Passeriformes,"['Acanthis cabaret', 'Acanthis flammea']"
16,Acanthis flammea,Redpoll,redpol1,Acanthis flammea,Redpoll,Taigabirkenzeisig,Acanthis flammea,Aves,Passeriformes,"['Acanthis flammea', 'Carduelis flammea']"
18,Acanthis hornemanni,,,,,Polarbirkenzeisig,Acanthis hornemanni,Aves,Passeriformes,['Acanthis hornemanni']
19,Acanthisitta chloris,Rifleman,riflem1,Acanthisitta chloris,Rifleman,Grünstummelschwanz,Acanthisitta chloris,Aves,Passeriformes,['Acanthisitta chloris']
20,Acanthiza apicalis,Inland Thornbill,inltho1,Acanthiza apicalis,Inland Thornbill,Stelzschwanz-Dornschnabel,Acanthiza apicalis,Aves,Passeriformes,['Acanthiza apicalis']
21,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Gelbbürzel-Dornschnabel,Acanthiza chrysorrhoa,Aves,Passeriformes,['Acanthiza chrysorrhoa']
22,Acanthiza cinerea,Gray Thornbill,mouger1,Acanthiza cinerea,Grey Thornbill,Weißbürzel-Dornschnabel,Gerygone cinerea,Aves,Passeriformes,"['Acanthiza cinerea', 'Gerygone cinerea']"
23,Acanthiza ewingii,Tasmanian Thornbill,tastho1,Acanthiza ewingii,Tasmanian Thornbill,Tasmandornschnabel,Acanthiza ewingii,Aves,Passeriformes,['Acanthiza ewingii']
24,Acanthiza inornata,Western Thornbill,westho1,Acanthiza inornata,Western Thornbill,Walddornschnabel,Acanthiza inornata,Aves,Passeriformes,['Acanthiza inornata']
25,Acanthiza iredalei,Slender-billed Thornbill,slbtho2,Acanthiza iredalei,Slender-billed Thornbill,Grunddornschnabel,Acanthiza iredalei,Aves,Passeriformes,['Acanthiza iredalei']
26,Acanthiza katherina,Mountain Thornbill,moutho1,Acanthiza katherina,Mountain Thornbill,Bergdornschnabel,Acanthiza katherina,Aves,Passeriformes,['Acanthiza katherina']
27,Acanthiza lineata,Striated Thornbill,strtho1,Acanthiza lineata,Striated Thornbill,Stricheldornschnabel,Acanthiza lineata,Aves,Passeriformes,['Acanthiza lineata']
28,Acanthiza murina,Papuan Thornbill,paptho1,Acanthiza murina,New Guinea Thornbill,Papuadornschnabel,Acanthiza murina,Aves,Passeriformes,['Acanthiza murina']
29,Acanthiza nana,Yellow Thornbill,yeltho1,Acanthiza nana,Yellow Thornbill,Gelbbauch-Dornschnabel,Acanthiza nana,Aves,Passeriformes,['Acanthiza nana']
30,Acanthiza pusilla,Brown Thornbill,brotho1,Acanthiza pusilla,Brown Thornbill,Roststirn-Dornschnabel,Acanthiza pusilla,Aves,Passeriformes,['Acanthiza pusilla']
31,Acanthiza reguloides,Buff-rumped Thornbill,burtho1,Acanthiza reguloides,Buff-rumped Thornbill,Goldhähnchen-Dornschnabel,Acanthiza reguloides,Aves,Passeriformes,['Acanthiza reguloides']
32,Acanthiza robustirostris,Slaty-backed Thornbill,slbtho1,Acanthiza robustirostris,Slaty-backed Thornbill,Graurücken-Dornschnabel,Acanthiza robustirostris,Aves,Passeriformes,['Acanthiza robustirostris']
33,Acanthiza uropygialis,Chestnut-rumped Thornbill,chrtho1,Acanthiza uropygialis,Chestnut-rumped Thornbill,Braunbürzel-Dornschnabel,Acanthiza uropygialis,Aves,Passeriformes,['Acanthiza uropygialis']
34,Acanthodis tessellata,,,,,,Acanthodis tessellata,Insecta,Orthoptera,['Acanthodis tessellata']
35,Acanthodoras spinosissimus,Croaking catfish,t-10876475,,,,Acanthodoras spinosissimus,,Siluriformes,['Acanthodoras spinosissimus']
36,Acanthogryllus acus,,,,,,Acanthogryllus acus,Insecta,Orthoptera,['Acanthogryllus acus']
37,Acanthogryllus brunneri,,,,,,Acanthogryllus brunneri,Insecta,Orthoptera,['Acanthogryllus brunneri']
38,Acanthophora spicifera,,,,,,,Insecta,,['Acanthophora spicifera']
39,Acanthoplus discoidalis,,,,,,Acanthoplus discoidalis,Insecta,Orthoptera,['Acanthoplus discoidalis']
40,Acanthorhynchus superciliosus,Western Spinebill,wesspi1,Acanthorhynchus superciliosus,Western Spinebill,Buntkopf-Honigfresser,Acanthorhynchus superciliosus,Aves,Passeriformes,['Acanthorhynchus superciliosus']
41,Acanthorhynchus tenuirostris,Eastern Spinebill,easspi1,Acanthorhynchus tenuirostris,Eastern Spinebill,Rotnacken-Honigfresser,Acanthorhynchus tenuirostris,Aves,Passeriformes,['Acanthorhynchus tenuirostris']
42,Acanthornis magna,Scrubtit,scrubt2,Acanthornis magna,Scrubtit,Stammhuscher,Acanthornis magna,Aves,Passeriformes,['Acanthornis magna']
43,Acanthosoma haemorrhoidale,,,,,,Acanthosoma haemorrhoidale,Insecta,Hemiptera,['Acanthosoma haemorrhoidale']
44,Acanthostracion quadricornis,Cowfish,t-10860542,,,,Acanthostracion quadricornis,,Tetraodontiformes,['Acanthostracion quadricornis']
45,Acanthoventris drewseni,,,,,,Acanthoventris drewseni,Insecta,Hemiptera,['Acanthoventris drewseni']
46,Acanthurus chirurgus,Black doctorfish,t-10866559,,,,Acanthurus chirurgus,,Perciformes,['Acanthurus chirurgus']
47,Acanthurus coeruleus,Blue barber,t-10861725,,,,Acanthurus coeruleus,,Perciformes,['Acanthurus coeruleus']
48,Tachyspiza albogularis,Pied Goshawk,piegos1,Tachyspiza albogularis,Pied Goshawk,Elsterhabicht,Accipiter albogularis,Aves,Accipitriformes,"['Accipiter albogularis', 'Tachyspiza albogularis']"
49,Astur atricapillus,American Goshawk,norgos,Astur atricapillus,American Goshawk,,Falco atricapillus,Aves,Falconiformes,"['Accipiter atricapillus', 'Accipiter gentilis', 'Astur atricapillus', 'Falco atricapillus']"
50,Astur gentilis,Eurasian Goshawk,norgos1,Astur gentilis,Eurasian Goshawk,Habicht,Accipiter gentilis,Aves,Accipitriformes,"['Accipiter gentilis', 'Astur gentilis']"
51,Tachyspiza badia,Shikra,shikra1,Tachyspiza badia,Shikra,Schikrasperber,Accipiter badius,Aves,Accipitriformes,"['Accipiter badius', 'Tachyspiza badia']"
52,Astur bicolor,Bicolored Hawk,bichaw1,Astur bicolor,Bicolored Hawk,Zweifarbhabicht,Accipiter bicolor,Aves,Accipitriformes,"['Accipiter bicolor', 'Astur bicolor']"
53,Tachyspiza brevipes,Levant Sparrowhawk,levspa1,Tachyspiza brevipes,Levant Sparrowhawk,Kurzfangsperber,Accipiter brevipes,Aves,Accipitriformes,"['Accipiter brevipes', 'Tachyspiza brevipes']"
54,Accipiter castanilius,,,Aerospiza castanilius,Chestnut-flanked Sparrowhawk,Rotflankenhabicht,Accipiter castanilius,Aves,Accipitriformes,"['Accipiter castanilius', 'Aerospiza castanilius']"
55,Astur chilensis,Chilean Hawk,bichaw4,Astur chilensis,Chilean Hawk,Chilehabicht,Accipiter chilensis,Aves,Accipitriformes,"['Accipiter chilensis', 'Astur chilensis']"
56,Accipiter chionogaster,,,Accipiter chionogaster,White-breasted Hawk,Weißbrustsperber,Accipiter chionogaster,Aves,Accipitriformes,['Accipiter chionogaster']
57,Tachyspiza cirrocephala,Collared Sparrowhawk,colspa1,Tachyspiza cirrocephala,Collared Sparrowhawk,Halsringsperber,Accipiter cirrocephalus,Aves,Accipitriformes,"['Accipiter cirrocephalus', 'Tachyspiza cirrocephala']"
58,Microspizias collaris,Semicollared Hawk,semhaw2,Microspizias collaris,Semicollared Hawk,Halsbandsperber,Accipiter collaris,Aves,Accipitriformes,"['Accipiter collaris', 'Microspizias collaris']"
60,Astur cooperii,Cooper's Hawk,coohaw,Astur cooperii,Cooper's Hawk,Rundschwanzhabicht,Accipiter cooperii,Aves,Accipitriformes,"['Accipiter cooperii', 'Astur cooperii']"
61,Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,runspa1,Tachyspiza erythrauchen,Rufous-necked Sparrowhawk,Rotnackensperber,Accipiter erythrauchen,Aves,Accipitriformes,"['Accipiter erythrauchen', 'Tachyspiza erythrauchen']"
62,Accipiter erythronemius,,,Accipiter erythronemius,Rufous-thighed Hawk,Rotschenkelsperber,Accipiter erythronemius,Aves,Accipitriformes,['Accipiter erythronemius']
63,Tachyspiza erythropus,Red-thighed Sparrowhawk,retspa1,Tachyspiza erythropus,Red-thighed Sparrowhawk,Waldsperber,Accipiter erythropus,Aves,Accipitriformes,"['Accipiter erythropus', 'Tachyspiza erythropus']"
64,Tachyspiza fasciata,Brown Goshawk,brogos1,Tachyspiza fasciata,Brown Goshawk,Bänderhabicht,Accipiter fasciatus,Aves,Accipitriformes,"['Accipiter fasciatus', 'Tachyspiza fasciata']"
65,Tachyspiza francesiae,Frances's Sparrowhawk,fragos2,Tachyspiza francesiae,Frances's Sparrowhawk,Echsensperber,Accipiter francesiae,Aves,Accipitriformes,"['Accipiter francesiae', 'Tachyspiza francesiae']"
66,Accipiter griseiceps,,,Lophospiza griseiceps,Sulawesi Goshawk,Graukopfhabicht,Accipiter griseiceps,Aves,Accipitriformes,"['Accipiter griseiceps', 'Lophospiza griseiceps']"
67,Tachyspiza gularis,Japanese Sparrowhawk,japspa1,Tachyspiza gularis,Japanese Sparrowhawk,Trillersperber,Accipiter gularis,Aves,Accipitriformes,"['Accipiter gularis', 'Tachyspiza gularis']"
68,Astur gundlachi,Gundlach's Hawk,gunhaw1,Astur gundlachi,Gundlach's Hawk,Kubahabicht,Accipiter gundlachi,Aves,Accipitriformes,"['Accipiter gundlachi', 'Astur gundlachi']"
69,Tachyspiza haplochroa,New Caledonian Goshawk,necgos1,Tachyspiza haplochroa,White-bellied Goshawk,Weißbauchhabicht,Accipiter haplochrous,Aves,Accipitriformes,"['Accipiter haplochrous', 'Tachyspiza haplochroa']"
70,Tachyspiza henicogramma,Moluccan Goshawk,molgos1,Tachyspiza henicogramma,Moluccan Goshawk,Halmaherahabicht,Accipiter henicogrammus,Aves,Accipitriformes,"['Accipiter henicogrammus', 'Tachyspiza henicogramma']"
71,Astur henstii,Henst's Goshawk,hengos1,Astur henstii,Henst's Goshawk,Madagaskarhabicht,Accipiter henstii,Aves,Accipitriformes,"['Accipiter henstii', 'Astur henstii']"
72,Tachyspiza hiogaster,Variable Goshawk,vargos1,Tachyspiza hiogaster,Variable Goshawk,Inselhabicht,Accipiter hiogaster,Aves,Accipitriformes,"['Accipiter hiogaster', 'Tachyspiza hiogaster']"
73,Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,Accipiter madagascariensis,Madagascar Sparrowhawk,Madagaskarsperber,Accipiter madagascariensis,Aves,Accipitriformes,['Accipiter madagascariensis']
74,Accipiter melanochlamys,,,Tachyspiza melanochlamys,Black-mantled Goshawk,Schwarzmantelhabicht,Accipiter melanochlamys,Aves,Accipitriformes,"['Accipiter melanochlamys', 'Tachyspiza melanochlamys']"
75,Astur melanoleucus,Black Goshawk,blagos1,Astur melanoleucus,Black Sparrowhawk,Dominohabicht,Accipiter melanoleucus,Aves,Accipitriformes,"['Accipiter melanoleucus', 'Astur melanoleucus']"
76,Accipiter meyerianus,,,Astur meyerianus,Meyer's Goshawk,Papuahabicht,Accipiter meyerianus,Aves,Accipitriformes,"['Accipiter meyerianus', 'Astur meyerianus']"
77,Tachyspiza minulla,Little Sparrowhawk,litspa1,Tachyspiza minulla,Little Sparrowhawk,Zwergsperber,Accipiter minullus,Aves,Accipitriformes,"['Accipiter minullus', 'Tachyspiza minulla']"
78,Tachyspiza nanus,Small Sparrowhawk,smaspa1,Tachyspiza nanus,Dwarf Sparrowhawk,Sulawesisperber,Accipiter nanus,Aves,Accipitriformes,"['Accipiter nanus', 'Tachyspiza nanus']"
79,Accipiter nisus,Eurasian Sparrowhawk,eurspa1,Accipiter nisus,Eurasian Sparrowhawk,Sperber,Accipiter nisus,Aves,Accipitriformes,['Accipiter nisus']
80,Tachyspiza novaehollandiae,Gray Goshawk,grygos1,Tachyspiza novaehollandiae,Grey Goshawk,Grauhabicht,Accipiter novaehollandiae,Aves,Accipitriformes,"['Accipiter novaehollandiae', 'Tachyspiza novaehollandiae']"
81,Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,Accipiter ovampensis,Ovambo Sparrowhawk,Ovambosperber,Accipiter ovampensis,Aves,Accipitriformes,['Accipiter ovampensis']
82,Accipiter poliocephalus,,,Tachyspiza poliocephala,Grey-headed Goshawk,Aschkopfhabicht,Accipiter poliocephalus,Aves,Accipitriformes,"['Accipiter poliocephalus', 'Tachyspiza poliocephala']"
83,Accipiter poliogaster,Gray-bellied Hawk,gybhaw1,Accipiter poliogaster,Grey-bellied Hawk,Graubauchhabicht,Accipiter poliogaster,Aves,Accipitriformes,['Accipiter poliogaster']
84,Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,vibspa1,Tachyspiza rhodogaster,Vinous-breasted Sparrowhawk,Rosenbrustsperber,Accipiter rhodogaster,Aves,Accipitriformes,"['Accipiter rhodogaster', 'Tachyspiza rhodogaster']"
85,Tachyspiza rufitorques,Fiji Goshawk,fijgos1,Tachyspiza rufitorques,Fiji Goshawk,Fidschihabicht,Accipiter rufitorques,Aves,Accipitriformes,"['Accipiter rufitorques', 'Tachyspiza rufitorques']"
86,Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,Accipiter rufiventris,Rufous-breasted Sparrowhawk,Rotbauchsperber,Accipiter rufiventris,Aves,Accipitriformes,['Accipiter rufiventris']
87,Tachyspiza soloensis,Chinese Sparrowhawk,grfhaw1,Tachyspiza soloensis,Chinese Sparrowhawk,Froschsperber,Accipiter soloensis,Aves,Accipitriformes,"['Accipiter soloensis', 'Tachyspiza soloensis']"
88,Accipiter striatus,Sharp-shinned Hawk,shshaw,Accipiter striatus,Sharp-shinned Hawk,Eckschwanzsperber,Accipiter striatus,Aves,Accipitriformes,['Accipiter striatus']
89,Microspizias superciliosus,Tiny Hawk,tinhaw1,Microspizias superciliosus,Tiny Hawk,Däumlingssperber,Accipiter superciliosus,Aves,Accipitriformes,"['Accipiter superciliosus', 'Microspizias superciliosus']"
91,Aerospiza tachiro,African Goshawk,afrgos1,Aerospiza tachiro,African Goshawk,Afrikahabicht,Accipiter tachiro,Aves,Accipitriformes,"['Accipiter tachiro', 'Aerospiza tachiro']"
92,Accipiter toussenelii,,,,,,Accipiter toussenelii,Aves,Accipitriformes,['Accipiter toussenelii']
93,Tachyspiza trinotata,Spot-tailed Goshawk,sptgos1,Tachyspiza trinotata,Spot-tailed Sparrowhawk,Fleckschwanzsperber,Accipiter trinotatus,Aves,Accipitriformes,"['Accipiter trinotatus', 'Tachyspiza trinotata']"
94,Lophospiza trivirgata,Crested Goshawk,cregos1,Lophospiza trivirgata,Crested Goshawk,Schopfhabicht,Accipiter trivirgatus,Aves,Accipitriformes,"['Accipiter trivirgatus', 'Lophospiza trivirgata']"
95,Accipiter ventralis,,,Accipiter ventralis,Plain-breasted Hawk,Andensperber,Accipiter ventralis,Aves,Accipitriformes,['Accipiter ventralis']
96,Tachyspiza virgata,Besra,besra1,Tachyspiza virgata,Besra,Besrasperber,Accipiter virgatus,Aves,Accipitriformes,"['Accipiter virgatus', 'Tachyspiza virgata']"
97,Acer circinatum,,,,,,,,,['Acer circinatum']
98,Acer macrophyllum,,,,,,,,,['Acer macrophyllum']
99,Acer negundo,,,,,,,,,['Acer negundo']
100,Acer platanoides,,,,,,,,,['Acer platanoides']
101,Acer rubrum,,,,,,,,,['Acer rubrum']
102,Acer saccharinum,,,,,,,,,['Acer saccharinum']
103,Acer saccharum,,,,,,,,,['Acer saccharum']
104,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,wrihor1,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,Runzelhornvogel,Rhabdotorrhinus corrugatus,Aves,Bucerotiformes,"['Aceros corrugatus', 'Rhabdotorrhinus corrugatus']"
106,Aceros nipalensis,Rufous-necked Hornbill,runhor1,Aceros nipalensis,Rufous-necked Hornbill,Nepalhornvogel,Aceros nipalensis,Aves,Bucerotiformes,['Aceros nipalensis']
107,Achaetops pycnopygius,Rockrunner,damroc1,Achaetops pycnopygius,Rockrunner,Klippensänger,Achaetops pycnopygius,Aves,Passeriformes,['Achaetops pycnopygius']
108,Acherontia atropos,,,,,,Acherontia atropos,Insecta,Lepidoptera,['Acherontia atropos']
110,Acheta domesticus,House cricket,t-5253487,,,,Acheta domesticus,Insecta,Orthoptera,"['Acheta domestica', 'Acheta domesticus']"
111,Acheta hispanicus,,,,,,Acheta hispanicus,Insecta,Orthoptera,['Acheta hispanicus']
112,Acheta meridionalis,,,,,,Acheta meridionalis,Insecta,Orthoptera,['Acheta meridionalis']
113,Acheta rufopictus,,,,,,Acheta rufopictus,Insecta,Orthoptera,['Acheta rufopictus']
114,Acinonyx jubatus,,,,,,Acinonyx jubatus,Mammalia,Carnivora,['Acinonyx jubatus']
115,Acontista concinna,,,,,,Acontista concinna,Insecta,Mantodea,['Acontista concinna']
116,Acrida ungarica,,,,,,Acrida ungarica,Insecta,Orthoptera,['Acrida ungarica']
117,Acrididae,Short-horned Grasshoppers,t-10526538,,,,,Insecta,Orthoptera,['Acrididae']
118,Acridotheres albocinctus,Collared Myna,colmyn1,Acridotheres albocinctus,Collared Myna,Halsbandmaina,Acridotheres albocinctus,Aves,Passeriformes,['Acridotheres albocinctus']
119,Acridotheres burmannicus,Burmese Myna,vibsta1,Acridotheres burmannicus,Burmese Myna,Burmamaina,Acridotheres burmannicus,Aves,Passeriformes,['Acridotheres burmannicus']
120,Acridotheres cristatellus,Crested Myna,cremyn,Acridotheres cristatellus,Crested Myna,Haubenmaina,Acridotheres cristatellus,Aves,Passeriformes,['Acridotheres cristatellus']
121,Acridotheres fuscus,Jungle Myna,junmyn1,Acridotheres fuscus,Jungle Myna,Dschungelmaina,Acridotheres fuscus,Aves,Passeriformes,['Acridotheres fuscus']
122,Acridotheres ginginianus,Bank Myna,banmyn1,Acridotheres ginginianus,Bank Myna,Ufermaina,Acridotheres ginginianus,Aves,Passeriformes,['Acridotheres ginginianus']
123,Acridotheres grandis,Great Myna,whvmyn1,Acridotheres grandis,Great Myna,Riesenmaina,Acridotheres grandis,Aves,Passeriformes,['Acridotheres grandis']
124,Acridotheres javanicus,Javan Myna,whvmyn,Acridotheres javanicus,Javan Myna,Javamaina,Acridotheres javanicus,Aves,Passeriformes,['Acridotheres javanicus']
125,Acridotheres leucocephalus,Vinous-breasted Myna,vibsta4,Acridotheres leucocephalus,Vinous-breasted Myna,Fahlbürzelmaina,Acridotheres leucocephalus,Aves,Passeriformes,['Acridotheres leucocephalus']
126,Acridotheres melanopterus,Black-winged Myna,bkwsta1,Acridotheres melanopterus,Black-winged Myna,Schwarzflügelmaina,Acridotheres melanopterus,Aves,Passeriformes,['Acridotheres melanopterus']
127,Acridotheres tristis,Common Myna,commyn,Acridotheres tristis,Common Myna,Hirtenmaina,Acridotheres tristis,Aves,Passeriformes,['Acridotheres tristis']
128,Acripeza reticulata,,,,,,Acripeza reticulata,Insecta,Orthoptera,['Acripeza reticulata']
129,Acris blanchardi,,,,,,Acris blanchardi,Amphibia,Anura,['Acris blanchardi']
130,Acris crepitans,Northern Cricket Frog,t-11145339,,,,Acris crepitans,Amphibia,Anura,['Acris crepitans']
131,Acris gryllus,Southern Cricket Frog,t-11164140,,,,Acris gryllus,Amphibia,Anura,['Acris gryllus']
132,Acris,Acris,t-10570206,,,,,Amphibia,Anura,['Acris']
133,Acritillas indica,Yellow-browed Bulbul,yebbul3,Acritillas indica,Yellow-browed Bulbul,Goldbrauenbülbül,Acritillas indica,Aves,Passeriformes,"['Acritillas indica', 'Iole indica']"
135,Acrobates pygmaeus,,,,,,Acrobates pygmaeus,Mammalia,Diprotodontia,['Acrobates pygmaeus']
136,Acrobatornis fonsecai,Pink-legged Graveteiro,pilgra1,Acrobatornis fonsecai,Pink-legged Graveteiro,Plantagenschlüpfer,Acrobatornis fonsecai,Aves,Passeriformes,['Acrobatornis fonsecai']
137,Acrocephalus aequinoctialis,Kiritimati Reed Warbler,chiwar1,Acrocephalus aequinoctialis,Bokikokiko,Kiribatirohrsänger,Acrocephalus aequinoctialis,Aves,Passeriformes,['Acrocephalus aequinoctialis']
138,Acrocephalus agricola,Paddyfield Warbler,padwar1,Acrocephalus agricola,Paddyfield Warbler,Feldrohrsänger,Acrocephalus agricola,Aves,Passeriformes,['Acrocephalus agricola']
139,Acrocephalus arundinaceus,Great Reed Warbler,grrwar1,Acrocephalus arundinaceus,Great Reed Warbler,Drosselrohrsänger,Acrocephalus arundinaceus,Aves,Passeriformes,['Acrocephalus arundinaceus']
140,Acrocephalus atyphus,Tuamotu Reed Warbler,turwar1,Acrocephalus atyphus,Tuamotu Reed Warbler,Tuamoturohrsänger,Acrocephalus atyphus,Aves,Passeriformes,['Acrocephalus atyphus']
141,Acrocephalus australis,Australian Reed Warbler,aurwar1,Acrocephalus australis,Australian Reed Warbler,Australrohrsänger,Acrocephalus australis,Aves,Passeriformes,['Acrocephalus australis']
142,Acrocephalus baeticatus,,,,,,Acrocephalus baeticatus,Aves,Passeriformes,['Acrocephalus baeticatus']
143,Acrocephalus bistrigiceps,Black-browed Reed Warbler,bbrwar1,Acrocephalus bistrigiceps,Black-browed Reed Warbler,Brauenrohrsänger,Acrocephalus bistrigiceps,Aves,Passeriformes,['Acrocephalus bistrigiceps']
144,Acrocephalus brevipennis,Cape Verde Swamp Warbler,cvswar1,Acrocephalus brevipennis,Cape Verde Warbler,Kapverden-Rohrsänger,Acrocephalus brevipennis,Aves,Passeriformes,['Acrocephalus brevipennis']
145,Acrocephalus caffer,Tahiti Reed Warbler,tahrew1,Acrocephalus caffer,Tahiti Reed Warbler,Langschnabel-Rohrsänger,Acrocephalus caffer,Aves,Passeriformes,['Acrocephalus caffer']
146,Acrocephalus concinens,Blunt-winged Warbler,blwwar1,Acrocephalus concinens,Blunt-winged Warbler,Strauchrohrsänger,Acrocephalus concinens,Aves,Passeriformes,['Acrocephalus concinens']
147,Acrocephalus dumetorum,Blyth's Reed Warbler,blrwar1,Acrocephalus dumetorum,Blyth's Reed Warbler,Buschrohrsänger,Acrocephalus dumetorum,Aves,Passeriformes,['Acrocephalus dumetorum']
148,Acrocephalus familiaris,Millerbird,miller,Acrocephalus familiaris,Millerbird,Hawaiirohrsänger,Acrocephalus familiaris,Aves,Passeriformes,['Acrocephalus familiaris']
149,Acrocephalus gracilirostris,Lesser Swamp Warbler,leswar1,Acrocephalus gracilirostris,Lesser Swamp Warbler,Kaprohrsänger,Acrocephalus gracilirostris,Aves,Passeriformes,['Acrocephalus gracilirostris']
150,Acrocephalus griseldis,Basra Reed Warbler,barwar2,Acrocephalus griseldis,Basra Reed Warbler,Basrarohrsänger,Acrocephalus griseldis,Aves,Passeriformes,['Acrocephalus griseldis']
151,Acrocephalus hiwae,Saipan Reed Warbler,sairew1,Acrocephalus hiwae,Saipan Reed Warbler,Marianenrohrsänger,Acrocephalus hiwae,Aves,Passeriformes,['Acrocephalus hiwae']
152,Acrocephalus kerearako,Cook Islands Reed Warbler,cirwar2,Acrocephalus kerearako,Cook Reed Warbler,Cookinsel-Rohrsänger,Acrocephalus kerearako,Aves,Passeriformes,['Acrocephalus kerearako']
153,Acrocephalus melanopogon,Moustached Warbler,mouwar1,Acrocephalus melanopogon,Moustached Warbler,Mariskenrohrsänger,Acrocephalus melanopogon,Aves,Passeriformes,['Acrocephalus melanopogon']
154,Acrocephalus mendanae,Southern Marquesan Reed Warbler,marwar2,Acrocephalus mendanae,Southern Marquesan Reed Warbler,Südmarquesas-Rohrsänger,Acrocephalus mendanae,Aves,Passeriformes,['Acrocephalus mendanae']
155,Acrocephalus newtoni,Madagascar Swamp Warbler,maswar1,Acrocephalus newtoni,Madagascar Swamp Warbler,Madagaskarrohrsänger,Acrocephalus newtoni,Aves,Passeriformes,['Acrocephalus newtoni']
156,Acrocephalus orientalis,Oriental Reed Warbler,orrwar1,Acrocephalus orientalis,Oriental Reed Warbler,Chinarohrsänger,Acrocephalus orientalis,Aves,Passeriformes,['Acrocephalus orientalis']
157,Acrocephalus orinus,Large-billed Reed Warbler,labrew1,Acrocephalus orinus,Large-billed Reed Warbler,Großschnabel-Rohrsänger,Acrocephalus orinus,Aves,Passeriformes,['Acrocephalus orinus']
158,Acrocephalus paludicola,Aquatic Warbler,aquwar1,Acrocephalus paludicola,Aquatic Warbler,Seggenrohrsänger,Acrocephalus paludicola,Aves,Passeriformes,['Acrocephalus paludicola']
159,Acrocephalus palustris,Marsh Warbler,marwar3,Acrocephalus palustris,Marsh Warbler,Sumpfrohrsänger,Acrocephalus palustris,Aves,Passeriformes,['Acrocephalus palustris']
160,Acrocephalus percernis,Northern Marquesan Reed Warbler,marrew2,Acrocephalus percernis,Northern Marquesan Reed Warbler,Nordmarquesas-Rohrsänger,Acrocephalus percernis,Aves,Passeriformes,['Acrocephalus percernis']
161,Acrocephalus rehsei,Nauru Reed Warbler,narwar1,Acrocephalus rehsei,Nauru Reed Warbler,Naururohrsänger,Acrocephalus rehsei,Aves,Passeriformes,['Acrocephalus rehsei']
162,Acrocephalus rimitarae,Rimatara Reed Warbler,rimrew1,Acrocephalus rimitarae,Rimatara Reed Warbler,Rimatararohrsänger,Acrocephalus rimitarae,Aves,Passeriformes,['Acrocephalus rimitarae']
163,Acrocephalus rodericanus,Rodrigues Warbler,rodbrw1,Acrocephalus rodericanus,Rodrigues Warbler,Rodriguesrohrsänger,Acrocephalus rodericanus,Aves,Passeriformes,['Acrocephalus rodericanus']
