id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
11804,Osteocephalus verruciger,Osteocephalus verruciger,t-11155530,,,,Osteocephalus verruciger,Amphibia,Anura,['Osteocephalus verruciger']
11805,Osteocephalus,Osteocephalus,t-10570299,,,,,Amphibia,Anura,['Osteocephalus']
11806,Osteopilus crucialis,Osteopilus crucialis,t-11146213,,,,Osteopilus crucialis,Amphibia,Anura,['Osteopilus crucialis']
11807,Osteopilus dominicensis,Osteopilus dominicensis,t-11044457,,,,Osteopilus dominicensis,Amphibia,Anura,['Osteopilus dominicensis']
11808,Osteopilus marianae,Osteopilus marianae,t-11127059,,,,Osteopilus marianae,Amphibia,Anura,['Osteopilus marianae']
11809,Osteopilus ocellatus,Osteopilus ocellatus,t-11168999,,,,Osteopilus ocellatus,Amphibia,Anura,['Osteopilus ocellatus']
11810,Osteopilus septentrionalis,Cuban Treefrog,t-11158535,,,,Osteopilus septentrionalis,Amphibia,Anura,['Osteopilus septentrionalis']
11811,Osteopilus wilderi,Osteopilus wilderi,t-11043495,,,,Osteopilus wilderi,Amphibia,Anura,['Osteopilus wilderi']
11812,Osteopilus,Osteopilus,t-10604107,,,,,Amphibia,Anura,['Osteopilus']
11813,Otaria flavescens,South American Sealion,t-11026100,,,,Otaria byronia,Mammalia,Carnivora,"['Otaria byronia', 'Otaria flavescens']"
11815,Otariidae,Sea Lions,t-10530468,,,,,Mammalia,Carnivora,['Otariidae']
11816,Otidiphaps nobilis,Pheasant Pigeon,phepig1,Otidiphaps nobilis,Pheasant Pigeon,Fasantaube,Otidiphaps nobilis,Aves,Columbiformes,['Otidiphaps nobilis']
11817,Otis tarda,Great Bustard,grebus1,Otis tarda,Great Bustard,Großtrappe,Otis tarda,Aves,Otidiformes,['Otis tarda']
11818,Turdus mupinensis,Chinese Thrush,chithr2,Turdus mupinensis,Chinese Thrush,Chinasingdrossel,Turdus mupinensis,Aves,Passeriformes,"['Otocichla mupinensis', 'Turdus mupinensis']"
11820,Otocyon megalotis,,,,,,Otocyon megalotis,Mammalia,Carnivora,['Otocyon megalotis']
11821,Otolemur crassicaudatus,Brown Greater Galago,t-11055095,,,,Otolemur crassicaudatus,Mammalia,Primates,['Otolemur crassicaudatus']
11822,Otolemur garnettii,small-eared galago,t-11064828,,,,Otolemur garnettii,Mammalia,Primates,['Otolemur garnettii']
11823,Otophryne pyburni,Otophryne pyburni,t-11111163,,,,Otophryne pyburni,Amphibia,Anura,['Otophryne pyburni']
11824,Otophryne robusta,Otophryne robusta,t-11105074,,,,Otophryne robusta,Amphibia,Anura,['Otophryne robusta']
11825,Otophryne steyermarki,,,,,,Otophryne steyermarki,Amphibia,Anura,['Otophryne steyermarki']
11826,Spermophilus beecheyi,California ground squirrel,t-11057697,,,,Otospermophilus beecheyi,Mammalia,Rodentia,"['Otospermophilus beecheyi', 'Spermophilus beecheyi']"
11828,Otospermophilus douglasii,,,,,,,Mammalia,Rodentia,['Otospermophilus douglasii']
11829,Spermophilus variegatus,rock squirrel,t-11060132,,,,Otospermophilus variegatus,Mammalia,Rodentia,"['Otospermophilus variegatus', 'Spermophilus variegatus']"
11831,Otus alfredi,Flores Scops-Owl,flsowl1,Otus alfredi,Flores Scops Owl,Flores-Zwergohreule,Otus alfredi,Aves,Strigiformes,['Otus alfredi']
11832,Otus alius,Nicobar Scops-Owl,nicsco1,Otus alius,Nicobar Scops Owl,Nikobaren-Zwergohreule,Otus alius,Aves,Strigiformes,['Otus alius']
11833,Otus angelinae,Javan Scops-Owl,jasowl2,Otus angelinae,Javan Scops Owl,Angelina-Zwergohreule,Otus angelinae,Aves,Strigiformes,['Otus angelinae']
11834,Otus bakkamoena,Indian Scops-Owl,insowl1,Otus bakkamoena,Indian Scops Owl,Indien-Zwergohreule,Otus bakkamoena,Aves,Strigiformes,['Otus bakkamoena']
