idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
0,Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,aves,Изумрудогорлый колибри,Smaragdkehlkolibri,Colibrí de Abeillé,kolibřík smaragdovohrdlý,Colibri d'Abeillé,Smaragdkeelkolibrie,zielaczek,コバシハチドリ,emerald-chinned hummingbird,colibrí d'Abeillé,翠颏蜂鸟,Смарагдовогушо колибри,smaragdstrupekolibri,smaragdstrupe,Smaragdstrube,kolibrík zelenobradý,Колібрі малахітовий,Abeille Kolibrisi,viherleukakolibri,Smaragdnobradi kolibri,Colibrí de Abeillé,Colibrí Pico Corto,Emerald-chinned hummingbird,kratkokljuni kolibrić,Colibrí de Abeillé,Abeilija,مگسمرغ زمردچانه,翠颏蜂鸟,Sïedn gên emrallt
1,Abispa ephippium,Australian hornet,498926,insecta,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet,Australian hornet
2,Abroscopus albogularis,Rufous-faced Warbler,rufwar1,aves,Рыжещёкая комарница,Rostwangen-Dickichtsänger,Mosquitero Carirrufo,budníček rezavolící,Bouscarle à moustaches,Roodwangboszanger,skrytoczub rdzawolicy,コシジロムシクイ,rufous-faced warbler,abròscop cara-roig,棕脸鹟莺,Ръждиволик певец,rustmaskesanger,rostkindad cettia,Brunmasket Sanger,pradešan červenolíci,Війчик рудощокий,Kızıl Yüzlü Ötleğen,pikkulehväkerttu,Rumenolika grmuša,Mosquitero carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,riđolica svilorepa,Mosquitero Carirrufo,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,棕脸鹟莺,Gwybedog-delor gyddfwyn
3,Abroscopus schisticeps,Black-faced Warbler,blfwar1,aves,Чернолицая комарница,Schieferkopf-Dickichtsänger,Mosquitero Carinegro,budníček černolící,Bouscarle à face noire,Zwartmaskerboszanger,skrytoczub ciemnolicy,カオグロムシクイ,black-faced warbler,abròscop emmascarat,黑脸鹟莺,Чернолик певец,svartmaskesanger,svartkindad cettia,Sortmasket Sanger,pradešan čiernolíci,Війчик чорнощокий,Siyah Yüzlü Ötleğen,naamiolehväkerttu,Crnolika grmuša,Mosquitero carinegro,Mosquitero Carinegro,Black-faced warbler,crnolica svilorepa,Mosquitero Carinegro,Juodaveidė raštuotoji musinukė,سسک روسیاه,黑脸鹟莺,Gwybedog-delor wynebddu
4,Abroscopus superciliaris,Yellow-bellied Warbler,yebwar1,aves,Желтобрюхая комарница,Bambusdickichtsänger,Mosquitero Cejiblanco,budníček šedokorunkatý,Bouscarle à sourcils blancs,Bamboeboszanger,skrytoczub białobrewy,マミジロムシクイ,yellow-bellied warbler,abròscop cellablanc,黄腹鹟莺,Жълтокорем певец,hvitbrynsanger,gulbukig cettia,Gulbuget Sanger,pradešan bambusový,Війчик білобровий,Sarı Karınlı Ötleğen,bambulehväkerttu,Žutotrba grmuša,Mosquitero cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,žutotrba svilorepa,Mosquitero Cejiblanco,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,黄腹鹟莺,Gwybedog-delor torfelyn
5,Aburria aburri,Wattled Guan,watgua1,aves,Серёжчатый гуан,Lappenguan,Pava Aburria,guan aburri,Pénélope aburri,Lelgoean,grdacz soplowaty,ニクダレシャクケイ,wattled guan,guan camagroc,肉垂冠雉,Голям черен гуан,gulflikhokko,flikguan,Lappepenelopehøne,morkovec lalôčkový,Абурі,Küpeli Guan,helttasaku,Resasti guan,Pava aburria,Pava Aburria,Wattled guan,plavokljuni guan,Wattled Guan,Aburija,شبخروش غبغبکی,肉垂冠雉,Gwân tagellog
6,Acanthacris ruficornis,Garden Locust,132429,insecta,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Tuinsprinkhaan,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust,Garden Locust
7,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,aves,Розовоклювый серёжкоух,Braunkehl-Honigfresser,Mielero Golicanelo,medosavka modrooká,Méliphage à bavette,Goudkeelhoningeter,kolcoliczek,ケミミミツスイ,spiny-cheeked honeyeater,menjamel galtaespinós,刺颊垂蜜鸟,Ръждивогуш медояд,rosennebbhonningeter,rosanäbbad honungsfågel,Grågumpet Honningæder,medárik hnedohrdlý,Медолюб-дзвіночок,Diken Yanaklı Balkuşu,mustapyrstömesikko,Oštrobrki medojed,Mielero golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,ružičastokljuni medojed,Mielero Golicanelo,Spiny-cheeked Honeyeater,عسلخوار چانهخاردار,刺颊垂蜜鸟,Melysor barfog
8,Acanthidops bairdi,Peg-billed Finch,pebfin1,aves,Остроклювый овсяночник,Vulkanammertangare,Yal Costarricense,pěnkavka Bairdova,Bec-en-cheville gris,Wigsnavelgors,bambusozięb ostrodzioby,ハシナガシトド,peg-billed finch,frigil becfí,尖嘴雀鹀,Тънкоклюна чинкова танагра,spissnebbspurv,spetsnäbbad tangara,Spidsnæbbet Finke,pinkavka sivá,Шиферка гостродзьоба,Sivri Gagalı İspinoz,kiilanokkasirkku,Šiljokljuna zeba,Yal costarricense,Yal Costarricense,Peg-billed finch,klinastokljuni sjemenar,Yal Costarricense,Peg-billed Finch,سهره نوکمیخی,尖嘴雀鹀,Pila Baird
9,Acanthinodera cumingii,Acanthinodera Cummingi,556670,insecta,Acanthinodera Cummingi,Acanthinodera Cummingi,Madre de la culebra,Acanthinodera Cummingi,Acanthinodera cumingi,Acanthinodera cumingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera cumingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi,Acanthinodera Cummingi
10,Acanthis flammea,Redpoll,redpol1,aves,Чечётка,Birkenzeisig,Pardillo Sizerín,čečetka zimní,Sizerin flammé,Barmsijs,czeczotka,ベニヒワ,pintarroxo-de-queixo-preto,passerell gorjanegre septentrional,白腰朱顶雀,Брезова скатия,gråsisik,gråsiska,Gråsisken,stehlík čečetka,Чечітка звичайна,Huş İsketesi,urpiainen,Juričica,Pardillo sizerín,Pardillo Sizerín,Pintarroxo-de-queixo-preto,sjeverna juričica,Pardillo Sizerín,Paprastasis čimčiakas,زلفقرمزی معمولی,Redpoll,Llinos bengoch gyffredin
11,Acanthisitta chloris,Rifleman,riflem1,aves,Зелёный стрелок,Grünstummelschwanz,Acantisita Verdoso,pokřovník zelený,Xénique grimpeur,Geweervogel,barglik,ミドリイワサザイ,rifleman,acantisita bec d'alena,刺鹩,Зелено новозеландско орехче,skogklatresmett,klättersmyg,Klatresmutte,striežik zelenkavý,Стрілець,Nişancı,metsävilistäjä,Carić puškar,Acantisita verdoso,Acantisita Verdoso,Rifleman,šumski palčac,Acantisita Verdoso,Žalioji pita,Rifleman,刺鹩,Reifflwr
12,Acanthiza apicalis,Inland Thornbill,inltho1,aves,Пестрогрудая шипоклювка,Stelzschwanz-Dornschnabel,Acantiza Apical,střízlíkovec australský,Acanthize troglodyte,Roodstuitdoornsnavel,buszówka szerokosterna,ヒロオトゲハシムシクイ,inland thornbill,acantiza caragolet,宽尾刺嘴莺,Пъстрогуш шипоклюн певец,krattornsmett,inlandstaggnäbb,Bredhalet Mejsesanger,ostrozobka hnedochvostá,Шиподзьоб широкохвостий,Al Gözlü Dikengaga,vipeväotsamaluri,Australijska trnokljunka,Acantiza apical,Acantiza Apical,Inland thornbill,pjegavočela trnokljunka,Acantiza Apical,Plačiauodegis spygliasnapis,نوکخاری دمپهن,宽尾刺嘴莺,Dreinbig y canoldir
13,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,aves,Желтопоясничная шипоклювка,Gelbbürzel-Dornschnabel,Acantiza Culigualda,střízlíkovec žlutokostřecový,Acanthize à croupion jaune,Geelstuitdoornsnavel,buszówka żółtorzytna,コモントゲハシムシクイ,yellow-rumped thornbill,acantiza de carpó groc,黄尾刺嘴莺,Жълтокръст шипоклюн певец,gulgumptornsmett,gulgumpad taggnäbb,Gulgumpet Mejsesanger,ostrozobka lúčna,Шиподзьоб жовтогузий,Sarı Belli Dikengaga,keltaperämaluri,Žutoleđa trnokljunka,Acantiza culigualda,Acantiza Culigualda,Yellow-rumped thornbill,biserastočela trnokljunka,Acantiza Culigualda,Geltonsturplis spygliasnapis,نوکخاری دمگاهزرد,黄尾刺嘴莺,Dreinbig tinfelyn
14,Acanthiza cinerea,Grey Thornbill,mouger1,aves,Белопоясничная геригона,Weißbürzel-Dornschnabel,Acantiza Gris,střízlíkovec šedý,Acanthize gris,Grijze doornsnavel,buszówka szara,ハイイロセンニョムシクイ,gray thornbill,acantiza argentada,新几内亚噪刺莺,Сив шипоклюн певец,gråtornsmett,grå taggnäbb,Grå Mejsesanger,ostrozobka sivá,Ріроріро новогвінейський,Gri Dikengaga,harmaakeijumaluri,Siva trnokljunka,Acantiza gris,Acantiza Gris,Gray thornbill,sivo-bijela trnokljunka,Acantiza Gris,Kalninė gerigona,خوشنوای خاکستری,Grey Thornbill,Caniedydd llwyd
15,Acanthiza ewingii,Tasmanian Thornbill,tastho1,aves,Тасманийская шипоклювка,Tasmandornschnabel,Acantiza de Tasmania,střízlíkovec jižní,Acanthize de Tasmanie,Tasmaanse doornsnavel,buszówka rdzawoczelna,タスマニアトゲハシムシクイ,tasmanian thornbill,acantiza de Tasmània,塔岛刺嘴莺,Тасманийски шипоклюн певец,tasmantornsmett,tasmantaggnäbb,Tasmansk Mejsesanger,ostrozobka tasmánska,Шиподзьоб тасманійський,Tasmanya Dikengagası,tasmaniantiaismaluri,Tasmanijska trnokljunka,Acantiza de Tasmania,Acantiza de Tasmania,Tasmanian thornbill,pjegavogrla trnokljunka,Acantiza de Tasmania,Tasmaninis spygliasnapis,نوکخاری تاسمانی,Tasmanian Thornbill,Dreinbig Tasmania
16,Acanthiza inornata,Western Thornbill,westho1,aves,Лесная шипоклювка,Walddornschnabel,Acantiza Sencilla,střízlíkovec západoaustralský,Acanthize sobre,Kaap-Leeuwindoornsnavel,buszówka uboga,ニシトゲハシムシクイ,western thornbill,acantiza occidental,西刺嘴莺,Западен шипоклюн певец,vesttornsmett,västlig taggnäbb,Vestlig Mejsesanger,ostrozobka plavá,Шиподзьоб лісовий,Batılı Boz Dikengaga,matkijatiaismaluri,Zapadna trnokljunka,Acantiza sencilla,Acantiza Sencilla,Western thornbill,ljuskastoglava trnokljunka,Acantiza Sencilla,Vakarinis spygliasnapis,نوکخاری غربی,Western Thornbill,Dreinbig y Gorllewin
17,Acanthiza iredalei,Slender-billed Thornbill,slbtho2,aves,Тонкоклювая шипоклювка,Grunddornschnabel,Acantiza de Iredale,střízlíkovec jihoaustralský,Acanthize d'Iredale,Mulgadoornsnavel,buszówka mała,キゴシトゲハシムシクイ,slender-billed thornbill,acantiza d'Iredale,细嘴刺嘴莺,Пъстрочел шипоклюн певец,alvetornsmett,nullarbortaggnäbb,Tyndnæbbet Mejsesanger,ostrozobka štíhlozobá,Шиподзьоб карликовий,Boz Dikengaga,pikkutiaismaluri,Tankokljuna trnokljunka,Acantiza de Iredale,Acantiza de Iredale,Slender-billed thornbill,ljuskastočela trnokljunka,Acantiza de Iredale,Plonasnapis spygliasnapis,نوکخاری نوکباریک,细嘴刺嘴莺,Dreinbig sampier
18,Acanthiza katherina,Mountain Thornbill,moutho1,aves,Горная шипоклювка,Bergdornschnabel,Acantiza Montana,střízlíkovec queenslandský,Acanthize des montagnes,Athertondoornsnavel,buszówka jasnooka,ヤマトゲハシムシクイ,mountain thornbill,acantiza muntanyenca,山刺嘴莺,Куинслендски шипоклюн певец,bergtornsmett,höglandstaggnäbb,Bjergmejsesanger,ostrozobka džungľová,Шиподзьоб квінслендський,Dağ Dikengagası,vuoritiaismaluri,Planinska trnokljunka,Acantiza montana,Acantiza Montana,Mountain thornbill,gorska trnokljunka,Acantiza Montana,Kalninis spygliasnapis,نوکخاری کوهی,Mountain Thornbill,Dreinbig mynydd
19,Acanthiza lineata,Striated Thornbill,strtho1,aves,Пёстрая шилоклювка,Stricheldornschnabel,Acantiza Estriada,střízlíkovec blahovičníkový,Acanthize ridé,Twijgdoornsnavel,buszówka kreskowana,ムナフトゲハシムシクイ,striated thornbill,acantiza pintada,纵纹刺嘴莺,Ивичест шипоклюн певец,stripetornsmett,strimmig taggnäbb,Stribet Mejsesanger,ostrozobka čiarková,Шиподзьоб смугастоволий,Çizgili Dikengaga,ruskopäämaluri,Prugasta trnokljunka,Acantiza estriada,Acantiza Estriada,Striated thornbill,prugastoglava trnokljunka,Acantiza Estriada,Dryžasis spygliasnapis,نوکخاری نواری,Striated Thornbill,Dreinbig rhesog
20,Acanthiza murina,New Guinea Thornbill,paptho1,aves,Новогвинейская шипоклювка,Papuadornschnabel,Acantiza Papú,střízlíkovec novoguinejský,Acanthize de Nouvelle-Guinée,Papoeadoornsnavel,buszówka mysia,パプアトゲハシムシクイ,papuan thornbill,acantiza de Nova Guinea,巴布亚刺嘴莺,Папуаски шипоклюн певец,papuatornsmett,papuataggnäbb,Papua Mejsesanger,ostrozobka bledooká,Шиподзьоб новогвінейський,Papua Dikengagası,papuantiaismaluri,Papuanska trnokljunka,Acantiza papú,Acantiza Papú,Papuan thornbill,pjegavolica trnokljunka,Acantiza Papú,Papuasinis spygliasnapis,نوکخاری گینه نو,New Guinea Thornbill,Dreinbig De Vis
21,Acanthiza nana,Yellow Thornbill,yeltho1,aves,Жёлтая шипоклювка,Gelbbauch-Dornschnabel,Acantiza Enana,střízlíkovec žlutý,Acanthize nain,Gele doornsnavel,buszówka żółtobrzucha,ヒメトゲハシムシクイ,yellow thornbill,acantiza daurada,小刺嘴莺,Жълт шипоклюн певец,gultornsmett,gul taggnäbb,Gulbuget Mejsesanger,ostrozobka žltobruchá,Шиподзьоб малий,Sarı Dikengaga,keltavatsamaluri,Žuta trnokljunka,Acantiza enana,Acantiza Enana,Yellow thornbill,žuta trnokljunka,Acantiza Enana,Geltonasis spygliasnapis,نوکخاری زرد,Yellow Thornbill,Dreinbig melyn
22,Acanthiza pusilla,Brown Thornbill,brotho1,aves,Малая шипоклювка,Roststirn-Dornschnabel,Acantiza Parda,střízlíkovec rudooký,Acanthize mignon,Bruine doornsnavel,buszówka brązowa,チャイロトゲハシムシクイ,brown thornbill,acantiza frontvermella,褐刺嘴莺,Кафяв шипоклюн певец,bruntornsmett,rostpannad taggnäbb,Brun Mejsesanger,ostrozobka hrdzavočelá,Шиподзьоб бурий,Kahverengi Dikengaga,kaneliperämaluri,Smeđa trnokljunka,Acantiza parda,Acantiza Parda,Brown thornbill,riđočela trnokljunka,Acantiza Parda,Rudasis spygliasnapis,نوکخاری قهوهای,Brown Thornbill,Dreinbig gwinau
23,Acanthiza reguloides,Buff-rumped Thornbill,burtho1,aves,Корольковая шипоклювка,Goldhähnchen-Dornschnabel,Acantiza Reguloide,střízlíkovec východoaustralský,Acanthize à croupion beige,Vaalstuitdoornsnavel,buszówka zmienna,ウグイストゲハシムシクイ,buff-rumped thornbill,acantiza reguloide,棕尾刺嘴莺,Оранжевокръст шипоклюн певец,okergumptornsmett,ockragumpad taggnäbb,Brungumpet Mejsesanger,ostrozobka kôrarská,Шиподзьоб золотомушковий,Keten Belli Dikengaga,ruso-otsamaluri,Žutotrba trnokljunka,Acantiza reguloide,Acantiza Reguloide,Buff-rumped thornbill,maslinastokapa trnokljunka,Acantiza Reguloide,Nykštukinis spygliasnapis,نوکخاری کفلکاهی,Buff-rumped Thornbill,Dreinbig rhisgl
24,Acanthiza robustirostris,Slaty-backed Thornbill,slbtho1,aves,Сероспинная шипоклювка,Graurücken-Dornschnabel,Acantiza Pizarrosa,střízlíkovec šedohřbetý,Acanthize ardoisé,Grijsrugdoornsnavel,buszówka śniada,ハイイロトゲハシムシクイ,slaty-backed thornbill,acantiza pissarrosa,蓝灰刺嘴莺,Ръждивокръст шипоклюн певец,mulgatornsmett,gråryggig taggnäbb,Grårygget Mejsesanger,ostrozobka popolavá,Шиподзьоб сіроспинний,Gri Sırtlı Dikengaga,valkovatsamaluri,Sivoleđa trnokljunka,Acantiza pizarrosa,Acantiza Pizarrosa,Slaty-backed thornbill,olovastokrila trnokljunka,Acantiza Pizarrosa,Pilkanugaris spygliasnapis,نوکخاری پشتکبود,蓝灰刺嘴莺,Dreinbig pigdew
25,Acanthiza uropygialis,Chestnut-rumped Thornbill,chrtho1,aves,Рыжепоясничная шипоклювка,Braunbürzel-Dornschnabel,Acantiza Culirroja,střízlíkovec světlebřichý,Acanthize à croupion roux,Roodstaartdoornsnavel,buszówka rudorzytna,コシアカトゲハシムシクイ,chestnut-rumped thornbill,acantiza de carpó rogenc,栗尾刺嘴莺,Кестенявокръст шипоклюн певец,kastanjegumptornsmett,rödgumpad taggnäbb,Rødgumpet Mejsesanger,ostrozobka bútľavinová,Шиподзьоб рудогузий,Kestane Belli Dikengaga,pähkinäperämaluri,Kestenjastoleđa trnokljunka,Acantiza culirroja,Acantiza Culirroja,Chestnut-rumped thornbill,crnorepa trnokljunka,Acantiza Culirroja,Rudasturplis spygliasnapis,نوکخاری کفلبلوطی,栗尾刺嘴莺,Dreinbig tinwinau
26,Acanthocinus aedilis,Timberman,515219,insecta,Серый длинноусый усач,Zimmermannsbock,Timberman,kozlíček dazule,Magistrat,Timmerboktor,Tycz cieśla,Timberman,Timberman,Banyarriquer del pi,Timberman,Timberman,tømmermann,större timmerman,Tømmermand,vrzúnik borovicový,Прутиус-трачій,Timberman,sarvijaakko,Timberman,Timberman,Timberman,Timberman,Timberman,Timberman,Ilgaūsis Pušiagraužis,Timberman,灰长角天牛,Timberman
27,Acanthogryllus fortipes,Brown Cricket,635876,insecta,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket,Brown Cricket
28,Acanthoplus discoidalis,Brown Armoured Corncricket,70001,insecta,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Criquet à armure,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Афрички оклопни цврчци,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,Brown Armoured Corncricket,جیرجیرک زرهی,Brown Armoured Corncricket,Brown Armoured Corncricket
29,Acanthoplus longipes,Longleg Armoured Corncricket,433057,insecta,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket,Longleg Armoured Corncricket
30,Acanthorhynchus superciliosus,Western Spinebill,wesspi1,aves,Западная титиара,Buntkopf-Honigfresser,Picoespina Occidental,jehlozobka západní,Méliphage festonné,Roesthalshoningeter,miodopijek rdzawoszyi,ニシキリハシミツスイ,western spinebill,bec d'espina occidental,西尖嘴吸蜜鸟,Червеноврат медояд,trikolorhonningeter,rosthalsad honungsfågel,Vestlig Seglnæb,peliar hrdzavokrký,Медолюб-шилодзьоб західний,Hercai Kılgaga,vyömesikko,Zapadni tankokljuni medojed,Picoespina occidental,Picoespina Occidental,Western spinebill,tankokljuni medojed,Picoespina Occidental,Western Spinebill,خارنوک غربی,西尖嘴吸蜜鳥,Melysor pigfain y Gorllewin
31,Acanthorhynchus tenuirostris,Eastern Spinebill,easspi1,aves,Восточная титиара,Rotnacken-Honigfresser,Picoespina Oriental,jehlozobka východní,Méliphage à bec grêle,Zwarthalshoningeter,miodopijek długodzioby,キリハシミツスイ,eastern spinebill,bec d'espina oriental,东尖嘴吸蜜鸟,Кафявогуш медояд,prydhonningeter,rostnackad honungsfågel,Østlig Seglnæb,peliar tenkozobý,Медолюб-шилодзьоб східний,Kızıl Enseli Kılgaga,naskalivyömesikko,Istočni tankokljuni medojed,Picoespina oriental,Picoespina Oriental,Eastern spinebill,iglokljuni medojed,Picoespina Oriental,Eastern Spinebill,خارنوک شرقی,東尖嘴吸蜜鳥,Melysor pigfain y Dwyrain
32,Acanthornis magna,Scrubtit,scrubt2,aves,Синицевый шипоклюв,Stammhuscher,Sedosito Tasmano,střízlíkovec sýkorovitý,Séricorne de Tasmanie,Kleine Tasmaanse struiksluiper,tasmanówka,メジロヤブムシクイ,scrubtit,espineta de Tasmània,灌丛丝刺莺,Сивоушка,klatrekrattsmett,snårsmyg,Buskmejse,papradníček krovinový,Кущовик острівний,Ak Gözlü Akantiz,tasmaniansilkkimaluri,Senicoliki šibljački carić,Sedosito tasmano,Sedosito Tasmano,Scrubtit,srebrnastolica trnokljunka,Sedosito Tasmano,Tasmaninis serikornis,چرخریسک بوتهای,Scrubtit,Dryw prysgoed clustlwyd
33,Acanthosoma haemorrhoidale,Hawthorn Shield Bug,51149,insecta,Килевик краснозадый,Wipfel-Stachelwanze,Hawthorn Shield Bug,kněžovka stromová,Punaise de l'aubépine,Meidoornkielwants,Puklica rudnica,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug,蓬萊原同椿,Hawthorn Shield Bug,storløvtege,Hagtornsbärfis,Stor løvtæge,bzdocha stromová,Hawthorn Shield Bug,Hawthorn Shield Bug,tuomilude,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug,Gudobelinė Skydblakė,Hawthorn Shield Bug,Hawthorn Shield Bug,Hawthorn Shield Bug
34,Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,aves,Мадагаскарский перепелятник,Madagaskarsperber,Gavilán Malgache,krahujec madagaskarský,Épervier de Madagascar,Madagaskarsperwer,krogulec prążkowany,マダガスカルハイタカ,madagascar sparrowhawk,esparver de Madagascar,马达加斯加雀鹰,Мадагаскарски среден ястреб,madagaskarhauk,madagaskarsparvhök,Madagascarspurvehøg,jastrab madagaskarský,Яструб мадагаскарський,Madagaskar Atmacası,madagaskarinlintuhaukka,Madagaskarski kobac,Gavilán malgache,Gavilán Malgache,Madagascar sparrowhawk,mrki kobac,Gavilán Malgache,Madagaskarinis paukštvanagis,بازگنجشک ماداگاسکاری,馬達加斯加雀鷹,Gwalch Madagasgar
35,Accipiter nisus,Eurasian Sparrowhawk,eurspa1,aves,Перепелятник,Sperber,Gavilán Común,krahujec obecný,Épervier d'Europe,Sperwer,krogulec,ハイタカ,gavião,esparver comú,雀鹰,Малък ястреб,spurvehauk,sparvhök,Spurvehøg,jastrab krahulec,Яструб малий,Atmaca,varpushaukka,Kobac,Gavilán común,Gavilán Común,Gavião,kobac,Gavilán Común,Paukštvanagis,Eurasian Sparrowhawk,雀鹰,Gwalch glas
36,Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,aves,Краснобокий перепелятник,Ovambosperber,Gavilán del Ovambo,krahujec ovampský,Épervier des Ovampos,Ovambosperwer,krogulec szary,サバンナハイタカ,ovambo sparrowhawk,esparver d'Ovambo,南非雀鹰,Овамбоенски ястреб,ovambohauk,ovambosparvhök,Ovampo Spurvehøg,jastrab ovambský,Яструб намібійський,Ovambo Atmacası,savannilintuhaukka,Ovambo jastreb,Gavilán del Ovambo,Gavilán del Ovambo,Ovambo sparrowhawk,sivi kobac,Gavilán del Ovambo,Namibinis paukštvanagis,بازگنجشک اوامبو,南非雀鷹,Gwalch Ovambo
37,Accipiter poliogaster,Grey-bellied Hawk,gybhaw1,aves,Серобрюхий ястреб,Graubauchhabicht,Azor Ventrigrís,jestřáb jihoamerický,Autour à ventre gris,Zuid-Amerikaanse havik,krogulec siwobrzuchy,セグロオオタカ,tauató-pintado,astor pitblanc,灰腹鹰,Сивокорем ястреб,gråbukhauk,gråbukig hök,Gråbuget Duehøg,jastrab sivobruchý,Яструб сірочеревий,Gri Karınlı Atmaca,amazoniankanahaukka,Sivotrbi južnoamerički jastreb,Azor ventrigrís,Azor Ventrigrís,Tauató-pintado,bjelotrbi jastreb,Azor Ventrigrís,Pilkapilvis vištvanagis,باز شکمخاکستری,Grey-bellied Hawk,Gwyddwalch torllwyd
38,Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,aves,Красногрудый перепелятник,Rotbauchsperber,Gavilán Papirrufo,krahujec rezavoprsý,Épervier menu,Roodborstsperwer,krogulec rudobrzuchy,ムネアカハイタカ,rufous-breasted sparrowhawk,esparver canyella,棕胸雀鹰,Ръждивогръд ястреб,rødbrystspurvehauk,rostbröstad sparvhök,Brunbrystet Spurvehøg,jastrab hrdzavoprsý,Яструб кенійський,Kızıl Karınlı Atmaca,ruostelintuhaukka,Crvenogrudi kobac,Gavilán papirrufo,Gavilán Papirrufo,Rufous-breasted sparrowhawk,riđotrbi kobac,Gavilán Papirrufo,Rausvakrūtis paukštvanagis,بازگنجشک سینهحنایی,棕胸雀鷹,Gwalch brongoch
