idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
4900,Edolisoma salomonis,Makira Cicadabird,cicada7,aves,Макирский цикадник,Makiraraupenfänger,Oruguero de San Cristóbal,Makira Cicadabird,Échenilleur de San Cristobal,Makirarupsvogel,gąsienicojad okopcony,マキラセミサンショウクイ,cuco-picanço-de-makira,eruguera de Makira,马基拉鹃鵙,Макирска кукувича сврачка,makirasikadefugl,makiragråfågel,Makiragråfugl,húseničiarka makirská,Шикачик соломонський,Makira Tırtılyiyeni,makirankäpinkäinen,Zujalica sa ostrva San Kristobal,Oruguero de San Cristóbal,Oruguero de San Cristóbal,Cuco-picanço-de-makira,sankristobalski skovranj,Oruguero de San Cristóbal,Sankristobalinis medšarkinis vikšralesys,Makira Cicadabird,Makira Cicadabird,Makira Cicadabird
4901,Edolisoma schisticeps,Grey-headed Cuckooshrike,gyhcus1,aves,Сероголовый цикадник,Graukopf-Raupenfänger,Oruguero Cabecigrís,housenčík novoguinejský,Échenilleur de Gray,Grayrupsvogel,gąsienicojad szarogłowy,ホオグロオオサンショウクイ,gray-headed cicadabird,eruguera capgrisa,灰头鹃鵙,Сивоглава кукувича сврачка,sotlarveeter,sothuvad gråfågel,Gråhovedet Gråfugl,húseničiarka papuánska,Шикачик новогвінейський,Gri Başlı Tırtılyiyen,tuhkakäpinkäinen,Sivoglava zujalica,Oruguero cabecigrís,Oruguero Cabecigrís,Gray-headed cicadabird,crnokrili skovranj,Oruguero Cabecigrís,Pilkagalvis medšarkinis vikšralesys,سنگچشمکوکوی سرخاکستری,Grey-headed Cuckooshrike,Grey-headed Cuckooshrike
4902,Edolisoma sula,Sula Cicadabird,sulcus1,aves,Суланский цикадник,Sularaupenfänger,Oruguero de las Sula,housenčík suluský,Échenilleur des Sula,Soelarupsvogel,gąsienicojad sulański,スラサンショウクイ,sula cicadabird,eruguera de les Sula,苏岛鹃鵙,Талиабуска кукувича сврачка,sulalarveeter,sulagråfågel,Sulagråfugl,húseničiarka sulská,Шикачик суланський,Sula Tırtılyiyeni,sulankäpinkäinen,Zujalica sa ostrva Sula,Oruguero de las Sula,Oruguero de las Sula,Sula cicadabird,sulski skovranj,Oruguero de las Sula,Sulinis medšarkinis vikšralesys,Sula Cicadabird,苏岛鹃鵙,Sula Cicadabird
4903,Edolisoma tenuirostre,Sahul Cicadabird,cicada1,aves,Тонкоклювый сорокопутовый личинкоед,Mönchsraupenfänger,Oruguero Picofino,housenčík proměnlivý,Échenilleur cigale,Sahoelrupsvogel,gąsienicojad cienkodzioby,サフルセミサンショウクイ,cuco-picanço-de-bico-fino,eruguera becfina australiana,长嘴鹃鵙,Тънкоклюна кукувича сврачка,sahulsikadefugl,sahulgråfågel,Tyndnæbbet Gråfugl,húseničiarka tenkozobá,Sahul Cicadabird,Sahul Tırtılyiyeni,kaitanokkakäpinkäinen,Australijska zujalica,Oruguero picofino,Oruguero Picofino,Cuco-picanço-de-bico-fino,tankokljuni skovranj,Oruguero Picofino,Plonasnapis medšarkinis vikšralesys,Sahul Cicadabird,長嘴鵑鵙,Sahul Cicadabird
4904,Edolisoma tricolor,Malaita Cicadabird,solcuc4,aves,Malaita Cicadabird,Malaita Cicadabird,Oruguero de Malaita,Malaita Cicadabird,Échenilleur de Malaita,Malaitarupsvogel,gąsienicojad czarnoszyi,マライタオオサンショウクイ,malaita cicadabird,Malaita Cicadabird,马莱塔鹃鵙,Малаитска кукувича сврачка,sølvvingesikadefugl,malaitagråfågel,Malaita Gråfugl,húseničiarka čiernokrká,Malaita Cicadabird,Malaita Tırtılyiyeni,Malaita Cicadabird,Malajtanska zujalica,Oruguero de Malaita,Oruguero de Malaita,Malaita cicadabird,Malaita Cicadabird,Oruguero de Malaita,Malaita Cicadabird,Malaita Cicadabird,Malaita Cicadabird,Malaita Cicadabird
4905,Egretta ardesiaca,Black Heron,blaher1,aves,Зонтичная цапля,Glockenreiher,Garceta Azabache,volavka černá,Aigrette ardoisée,Zwarte reiger,czapla czarna,クロコサギ,garça-preta,martinet negre,黑鹭,Черна чапла,skyggehegre,svarthäger,Skyggehejre,volavka čierna,Чепура чорна,Kara Balıkçıl,varjostajahaikara,Velika crna čaplja,Garceta azabache,Garceta Azabache,Garça-preta,crna čaplja,Garceta Azabache,Juodasis garnys,حواصیل سیاه,黑鹭,Crëyr du
4906,Egretta caerulea,Little Blue Heron,libher,aves,Малая голубая цапля,Blaureiher,Garceta Azul,volavka modrošedá,Aigrette bleue,Kleine blauwe reiger,czapla śniada,ヒメアカクロサギ,garça-azul,martinet blavós,小蓝鹭,Малка синя чапла,blåhegre,blåhäger,Blåhejre,volavka modrosivá,Чепура блакитна,Mavi Balıkçıl,sinihaikara,Mala plava čaplja,Garceta azul,Garza Azul,Garça-morena,modrosiva čaplja,Garceta Azul,Mažasis žydrasis garnys,حواصیل آبی کوچک,小藍鷺,Crëyr glas bach
4907,Egretta eulophotes,Chinese Egret,chiegr,aves,Желтоклювая цапля,Schneereiher,Garceta China,volavka žlutozobá,Aigrette de Chine,Chinese zilverreiger,czapla żółtodzioba,カラシラサギ,chinese egret,martinet de la Xina,黄嘴白鹭,Жълтоклюна бяла чапла,kritthegre,sidenhäger,Kinesisk Silkehejre,volavka čínska,Чепура жовтодзьоба,Swinhoe Ak Balıkçılı,kiinanjalohaikara,Kineska bela čaplja,Garceta china,Garceta China,Chinese egret,mangrovska čaplja,Garceta China,Kininis garnys,قار چینی,黄嘴白鹭,Crëyr Tsieina
4908,Egretta garzetta,Little Egret,litegr,aves,Малая белая цапля,Seidenreiher,Garceta Común,volavka stříbřitá,Aigrette garzette,Kleine zilverreiger,czapla nadobna,コサギ,garça-pequena-europeia,martinet blanc comú,小白鹭,Малка бяла чапла,silkehegre,silkeshäger,Silkehejre,beluša malá,Чепура мала,Küçük Ak Balıkçıl,silkkihaikara,Mala bela čaplja,Garceta común,Garceta Común,Garça-branca-pequena,mala bijela čaplja,Garceta Común,Mažasis baltasis garnys,اگرت کوچک,白鹭,Crëyr bach
4909,Egretta gularis,Western Reef Heron,werher,aves,Западная рифовая цапля,Küstenreiher,Garceta Dimorfa,volavka přímořská,Aigrette à gorge blanche,Westelijke rifreiger,czapla rafowa,アフリカクロサギ,garça-negra,martinet dels esculls,黄喉岩鹭,Рифова чапла,strandhegre,revhäger,Revhejre,volavka pobrežná,Чапля рифова,Kıyı Balıkçılı,riuttahaikara,Mala crna čaplja,Garceta dimorfa,Garceta Dimorfa,Garça-dos-recifes-ocidental,obalna čaplja,Garceta Dimorfa,Rifinis garnys,اگرت ساحلی,Western Reef Heron,Crëyr traethau gorllewinol
4910,Egretta novaehollandiae,White-faced Heron,whfher1,aves,Белолицая цапля,Weißwangenreiher,Garceta Cariblanca,volavka bělolící,Aigrette à face blanche,Witwangreiger,czapla białolica,カオジロサギ,garça-de-faces-brancas,martinet carablanc,白脸鹭,Белолика чапла,hvitmaskehegre,vithuvad häger,Hvidmasket Hejre,volavka bielolíca,Чепура австралійська,Ak Yüzlü Balıkçıl,valkonaamahaikara,Belolika australijska čaplja,Garceta cariblanca,Garceta Cariblanca,Garça-de-faces-brancas,bjelolica čaplja,Garceta Cariblanca,Baltaskruostis garnys,حواصیل صورتسفید,白脸鹭,Crëyr wynebwyn
4911,Egretta picata,Pied Heron,pieher2,aves,Сорочья цапля,Elsterreiher,Garceta Pía,volavka černobílá,Aigrette pie,Bonte reiger,czapla srokata,ムナジロクロサギ,garça-pedrês,martinet encaputxat,斑鹭,Пъстра чапла,hvithalshegre,svartvit häger,Sorthvid Hejre,volavka čepcová,Чепура строката,Yamalı Balıkçıl,valkokaulahaikara,Crno-bela čaplja,Garceta pía,Garceta Pía,Garça-pedrês,bjelovrata čaplja,Garceta Pía,Keršasis garnys,حواصیل رنگارنگ,斑鹭,Crëyr brith
4912,Egretta rufescens,Reddish Egret,redegr,aves,Рыжеватая цапля,Rötelreiher,Garceta Rojiza,volavka červenavá,Aigrette roussâtre,Roodhalsreiger,czapla rdzawoszyja,アカクロサギ,reddish egret,martinet rogenc,棕颈鹭,Червена чапла,dansehegre,rosthäger,Rusthejre,volavka strapatá,Чепура рудошия,Kızılca Balıkçıl,klovnihaikara,Riđa čaplja,Garceta rojiza,Garza Rojiza,Reddish egret,crvenkasta čaplja,Garceta Rojiza,Rausvasis garnys,حواصیل قرمز,棕颈鹭,Crëyr coch
