120961	Copiphora rhinoceros	Rhinoceros Katydid
121026	Lama glama	Llama
1210965	Lupulella adusta	Side-striped Jackal
1210966	Lupulella mesomelas	Black-backed Jackal
121213	Fannia canicularis	Lesser House Fly
121578	Ovis aries	Domestic Sheep
121594	Thyridopteryx ephemeraeformis	Evergreen Bagworm Moth
121821	Sceliphron caementarium	Yellow-legged Mud-dauber Wasp
121837	Acherontia lachesis	Greater Death's Head Hawkmoth
121989	Bombus hortorum	Garden Bumble Bee
122041	Orchelimum pulchellum	Handsome Meadow Katydid
122193	Gryllus pennsylvanicus	Fall Field Cricket
122214	Odontotaenius disjunctus	Horned Passalid
122261	Cucullia convexipennis	Brown-hooded Owlet
122262	Brachystola magna	Plains Lubber Grasshopper
122528	Typhaeus typhoeus	Minotaur Beetle
122699	Arcyptera tornosi	Arcyptera tornosi
122716	Orgyia definita	Definite Tussock Moth
123070	Capra hircus	Domestic Goat
123155	Xylotrupes gideon	Siamese Rhinoceros Beetle
123657	Bombus sylvarum	Shrill Carder-Bumble bee
123661	Clytra laeviuscula	Willow Clytra
123841	Anisota pellucida	Southern Pink-striped Oakworm Moth
123920	Dorcus parallelipipedus	Lesser Stag Beetle
123942	Micronecta scholtzi	Micronecta scholtzi
124031	Agrius convolvuli	Convolvulus Hawkmoth
1240547	Leopardus pajeros	Southern Pampas Cat
124145	Xylocopa violacea	Violet Carpenter Bee
124150	Lasius fuliginosus	Jet Ant
124184	Plodia interpunctella	Indian-Meal Moth
124223	Lamprima aurata	Golden Stag Beetle
124358	Andrena flavipes	Yellow-legged Mining Bee
124398	Rhetus arcius	Long-tailed Metalmark
124406	Megachile centuncularis	Patchwork Leafcutter Bee
124542	Anthophora plumipes	Hairy-footed Flower Bee
124590	Sphingonotus rubescens	Desert Sand Grasshopper
124780	Dudusa sphingiformis	Dudusa sphingiformis
124910	Bombus pratorum	Early Bumble Bee
1250323	Platyplectrum fletcheri	Fletcher's Frog
1250327	Hylambates boulengeri	Boulenger's Striped Frog
1250330	Hylambates maculatus	Red-legged Wot-wot
1250369	Pelobatrachus baluensis	Kinabalu Horned Frog
1250407	Pelobatrachus kobayashii	Kobayashi's Horned Frog
1250418	Xenophrys mangshanensis	Mangshan Horned Toad
1250430	Pelobatrachus nasutus	Long-nosed Horned Frog
1250452	Pelobatrachus stejnegeri	Mindanao Horned Frog
1250468	Rhacophorus norhayatiae	Norhayati's Flying Frog
1250489	Micryletta lineata	Lineated Pygmy Frog
1250532	Brachycephalus rotenbergae	Brachycephalus rotenbergae
1250534	Litoria spaldingi	Spalding's Rocket Frog
1250539	Melanophryniscus diabolicus	Darwin's Diabolic Toad
1251425	Boana platanera	Banana Tree Dwelling Frog
125570	Junonia iphita	Chocolate Pansy
125591	Euploea mulciber	Striped Blue Crow
125655	Anoplotrupes stercorosus	Woodland Dor Beetle
125792	Anthidium oblongatum	Oblong Woolcarder Bee
126148	Megacyllene caryae	Painted Hickory Borer
126155	Vespula germanica	German Yellowjacket
126206	Dissosteira carolina	Carolina Grasshopper
